gene,importance
ENDOG,0.0008713939
CCDC136,0.00087064935
IER5,0.0008704891
PSMC5,0.00087005534
PFDN6,0.00086903496
SLC27A5,0.00086761103
ELP4,0.00086641806
CEL,0.0008663161
PCGF3,0.0008630617
SLC18B1,0.00086247356
STRAP,0.0008579399
BIRC2,0.00085720094
ARAP3,0.000854828
TNFRSF10C,0.000851354
OCIAD2,0.0008505577
ACTL7A,0.00084302446
RNF113A,0.0008413079
NDUFAF6,0.0008411348
FAN1,0.0008297799
MYL9,0.0008289361
TMCC1,0.00082793366
PHF5A,0.00082772144
FRA10AC1,0.00082500995
SPOP,0.0008235139
NFATC1,0.00082237
DNAJC7,0.0008206376
CMTM8,0.0008185488
RGCC,0.0008179537
SPEG,0.0008168197
RAB11FIP5,0.0008154527
EBLN2,0.0008151583
TRAF5,0.00081401353
CHTOP,0.0008120102
MAML3,0.00081197126
SRP54,0.00081182213
SLC29A1,0.0008105366
LTV1,0.00080719835
CYP27A1,0.00080505305
MBOAT7,0.0008040114
FAM162A,0.0008039154
BPIFB2,0.00080385903
POLR2M,0.0008015839
AKIRIN1,0.0008012148
F2RL1,0.00079952035
RFT1,0.00079941656
P2RY2,0.0007991034
DNAJC3,0.0007987241
HLA-DRB1,0.000798341
SPECC1,0.0007970359
KIAA1257,0.0007964011
EIF3H,0.00079114997
CDC123,0.00078952673
COMTD1,0.00078808394
ADCK5,0.0007876734
LAMP1,0.00078679645
COG1,0.00078652706
LILRA3,0.0007804624
RLF,0.0007796555
RPP14,0.0007788648
GTF3C6,0.00077785004
PGAM1,0.0007734054
STRN4,0.00076986366
OR6W1P,0.0007697508
EXTL3,0.0007685218
SMCHD1,0.0007678834
PTTG1,0.00076664204
SOCS4,0.00076587946
RAB33A,0.00076496333
ELK4,0.0007630796
EEF2K,0.0007627051
PEX6,0.0007614685
VPS33A,0.00075954694
UBXN4,0.0007562495
VPS72,0.00075507903
IFFO1,0.00075469184
AUH,0.00075319794
NXT1,0.0007517167
SYNE3,0.00075073034
EYA1,0.0007485867
CREG1,0.00074574846
SMR3A,0.00074340147
SDHB,0.00074180186
DTNA,0.0007417448
ZNF815P,0.0007413375
WDFY2,0.00074086327
LRRN3,0.00074025954
TMEM104,0.0007393859
CMA1,0.0007391586
MAD2L1BP,0.0007383885
DGKQ,0.00073690043
PLEKHG2,0.0007360993
CD19,0.00073543534
DGKA,0.0007343705
PLEKHO2,0.00073366374
WSB1,0.00073350867
GPR119,0.0007278274
RBM3,0.00072673545
BIN3,0.00072672626
HPR,0.0007259835
FOLR2,0.00072465156
GPR78,0.0007234076
DES,0.0007233186
MFSD5,0.0007225754
TCP10L,0.00072024384
TMEM101,0.0007200668
BTBD6,0.00071819825
SH2D5,0.00071812776
RUSC2,0.0007175064
SERTAD2,0.00071740604
CS,0.00071525114
ARID5A,0.0007143483
ING3,0.0007123542
ITM2A,0.0007114186
SLFN11,0.0007089412
HSPA4,0.0007084771
ATP2B4,0.00070675154
CD38,0.0007063303
ENO1,0.0007062862
KDSR,0.0007061721
ZNF581,0.00070379704
AP3D1,0.00070344796
LCE1E,0.0007025996
TMEM258,0.0007004058
ZNF92,0.00070011977
GPR132,0.00069965265
TAF15,0.0006994412
ECD,0.0006989543
TCTN3,0.0006962095
FAM117A,0.00069554296
TMBIM6,0.00069436565
MIPEP,0.0006937654
BOLA3,0.00069194083
ZCCHC2,0.0006877189
CEBPD,0.00068529486
SELENBP1,0.0006850654
SLAMF8,0.0006836466
OPN4,0.0006824677
THOC5,0.0006801685
MAPRE2,0.0006795202
SHROOM4,0.00067930314
PLCB2,0.0006790591
MAF1,0.00067879196
CASS4,0.0006775432
LAIR2,0.00067735394
FAM174A,0.0006771802
CA2,0.00067689497
ZNF324B,0.00067603757
ADRB2,0.00067500357
ZNF689,0.0006741712
KRCC1,0.0006729303
PDIA5,0.0006723376
CEP120,0.0006707329
NENF,0.00066909875
UGCG,0.0006672463
ACTR3B,0.0006665999
ZNF467,0.00066633814
PGP,0.00066450116
KLRC1,0.00066316366
ST3GAL2,0.000662615
ALOX5,0.0006617531
ZFYVE19,0.00065925036
DCAKD,0.00065689354
INSL3,0.0006564377
RCSD1,0.00065628736
RFX1,0.0006557435
SRP72,0.00065468415
CEBPE,0.00065355335
DDA1,0.00065291394
UBE2L6,0.0006527739
RORA,0.00064821955
AEBP2,0.0006467757
OARD1,0.0006460013
IL4R,0.0006458127
MYBPC3,0.0006456026
ANO6,0.0006455875
MRPS11,0.00064513803
RHOB,0.00064447185
CLDN15,0.00064378313
PPM1K,0.00064124784
B9D2,0.00064068363
SLC2A8,0.0006398606
DPM3,0.00063915085
KDM5C,0.0006381228
VASP,0.00063588255
ZNF511,0.0006342634
MPZL1,0.0006327395
MDM2,0.00063195813
KDM2B,0.00063153205
RSL24D1,0.00063129363
ALYREF,0.0006293668
DHCR7,0.00062935316
GTF2A2,0.0006287051
SH3BP4,0.00062809984
MAST4,0.0006280716
PDCL,0.0006273748
ABCC5,0.0006267381
ZNF224,0.0006266195
COA4,0.00062571303
FAM214B,0.00062534615
OGG1,0.00062506984
BTN2A2,0.00062401453
ABCF1,0.0006236536
PLCH2,0.0006231691
WFDC3,0.0006222593
NAIP,0.0006208765
COX7B,0.00061999226
DDX56,0.0006198108
CSTF3,0.0006197068
SLC25A4,0.00061876763
GCLC,0.0006186394
ACAP1,0.00061669335
TNFSF13B,0.0006125249
DENND5A,0.00061194174
GPR160,0.0006097908
OSM,0.00060919195
JAZF1,0.0006086797
RUNX1,0.0006083637
FBXO21,0.0006077353
RNF166,0.0006073193
ALAS1,0.00060550467
SLC6A2,0.000605231
VTA1,0.00060469314
AMZ1,0.00060362095
CHAF1A,0.00060230197
LTB,0.00060124206
HNRNPA1,0.00060021435
UCKL1,0.0005984735
RBBP7,0.00059841067
BPGM,0.00059712864
ZNF816,0.00059499993
HVCN1,0.0005947818
CASP8,0.00059387763
DHX16,0.00059181603
WASF1,0.0005917655
CHAD,0.00059085176
FAM120C,0.00058933394
PTPRE,0.00058701565
CRYL1,0.00058627967
TMOD3,0.0005858801
UBXN8,0.00058552256
MRPL3,0.0005843162
ADAM12,0.0005842962
TRUB2,0.0005833978
CRYBG3,0.00058339484
COL16A1,0.0005823341
MRPL17,0.0005812044
PSMD5,0.00058096665
ZBTB7A,0.00057864573
NUCB2,0.00057619304
IL16,0.00057521043
SAP30,0.0005751305
FAM160A2,0.0005738665
FADS2,0.00057217723
NDUFC1,0.0005711596
DBI,0.0005682529
NFKBIL1,0.000566577
XIST,0.0005653602
LEO1,0.000565337
CTU2,0.00056492514
TSHZ3,0.0005619944
SP8,0.0005592925
DCPS,0.0005572343
ZNF763,0.00055697345
ORC2,0.000556165
RHBDD1,0.00055570196
ZNF777,0.00055533653
LRFN3,0.00055509876
PIK3CG,0.0005547983
MOCS3,0.00055399013
APH1B,0.00055398524
CTIF,0.0005523662
NQO2,0.0005522535
PCGF1,0.00055216585
LTF,0.0005492865
HIST1H2BD,0.00054644124
MAP3K10,0.0005461456
ZCCHC17,0.00054382073
CHAT,0.00054296706
GOLGA5,0.000542487
GTF3C4,0.0005417416
PPT1,0.0005415368
CCDC107,0.0005411599
RFC5,0.0005410317
ILKAP,0.0005403299
GABARAPL1,0.000540291
CYP2R1,0.00053944794
DPF2,0.00053896115
GALNT1,0.00053763896
DAXX,0.000536721
NOBOX,0.0005362356
PRADC1,0.0005362065
COL28A1,0.00053548673
KAT2B,0.0005353873
E2F4,0.00053527945
ATP7A,0.000533855
PTP4A3,0.0005336566
LPGAT1,0.0005327827
LAP3,0.00053275505
GPSM3,0.00053119933
ZNF563,0.00053099386
SIRT2,0.0005307886
NOC3L,0.00053022767
SRM,0.00052927365
TPM2,0.00052785536
CCT2,0.0005274643
FGFR1OP2,0.0005272735
NUP98,0.0005265237
TRMT2B,0.00052632217
SMIM7,0.0005258303
BCL2L2,0.0005250959
GPX2,0.0005238187
SPATA5L1,0.00052287604
TRAF4,0.0005214574
HARBI1,0.0005212803
RASSF10,0.0005207495
RGS2,0.00052013324
KCNQ1,0.000519929
LMO2,0.0005198527
RPF2,0.0005166636
B3GALT6,0.0005165635
ATP1A1,0.0005161755
CHD9,0.0005161435
CDHR2,0.0005147135
TEP1,0.00051468954
SYVN1,0.0005146032
JOSD1,0.0005140199
GRIPAP1,0.0005113569
RPP25,0.00051050197
CBX7,0.0005099501
OTUB1,0.0005094778
TET2,0.00050912146
CD2BP2,0.0005088747
TRIM24,0.000508745
FAM200B,0.0005085844
LAMTOR3,0.0005073831
ACTN4,0.0005072438
FUOM,0.00050681643
ABHD5,0.0005062
CMAS,0.000506065
PIGS,0.0005052541
HBZ,0.00050517445
GSTA3,0.0005045889
RNF34,0.0005042978
APEH,0.000503588
ALDH3A1,0.0005024007
ST14,0.00050222274
ABHD17B,0.0005019951
MTA2,0.00050005986
MYD88,0.0004996936
NAV3,0.0004980095
SERPINH1,0.00049800705
GIMAP1,0.00049720146
UQCRB,0.00049687
SLC14A1,0.0004961886
GTPBP2,0.00049610145
THADA,0.000493968
TMEM176A,0.0004938689
KLF4,0.00049359235
SLC35B2,0.000493359
COX20,0.00049326295
DCAF5,0.0004922921
SLC38A7,0.00049152545
MIS18A,0.00049044186
PSMB4,0.0004898661
MCEE,0.00048944354
AFF4,0.00048938877
TTC5,0.0004892254
FAXDC2,0.000488876
TRIAP1,0.0004883362
HGFAC,0.000487995
TCEA1,0.00048782624
VSTM1,0.0004876562
ANKRD35,0.0004873161
TAGLN,0.00048592375
GAS6,0.00048550664
TCF3,0.0004853076
SYF2,0.00048516152
GSR,0.00048371885
OR10A5,0.00048344707
YWHAB,0.00048287853
HIST1H2AB,0.00048055843
HHEX,0.00047996984
EBPL,0.00047809692
RPS11,0.00047723178
WBP1L,0.0004765616
EGR1,0.00047602566
SNORA62,0.00047573305
ERAL1,0.00047422384
CAPN1,0.00047402873
TMPRSS9,0.00047388664
ACOT12,0.00047324572
RGPD6,0.00047219472
GPIHBP1,0.00047197353
PRKX,0.00047180202
TRA2A,0.0004712372
RCN1,0.0004707358
NDUFA7,0.00047014392
PTPRA,0.00046985436
FARS2,0.00046921472
MRPS26,0.00046641196
LAS1L,0.0004663929
ATL2,0.00046627215
KRT33A,0.00046592636
ASAP1,0.0004653798
GFI1B,0.00046505022
RUNX3,0.0004648944
WDR59,0.00046470974
DPP4,0.00046450723
ITPA,0.00046332125
ZNF275,0.00046332032
PI3,0.0004630859
FUZ,0.0004623235
ZNF746,0.0004616999
GMCL1,0.00046132802
FCRL5,0.0004596267
TGFBR2,0.00045880332
PDE4B,0.00045849042
RASAL1,0.00045800343
TNFAIP8L2,0.00045760893
TMEM177,0.00045630368
GLS,0.00045602614
ETF1,0.00045534904
PSME4,0.0004539268
MEA1,0.00045388233
SMYD2,0.0004535237
SWAP70,0.00045290953
GRN,0.00045289233
TREX2,0.0004527258
DMKN,0.00045252984
HELQ,0.00045210062
SEC61B,0.00045153877
COA3,0.00045139223
DAAM2,0.00045124453
TBL2,0.00045107846
NGDN,0.0004508239
MNDA,0.00044988838
DUSP6,0.000448297
MBTPS1,0.00044805996
BACE2,0.0004480246
GADD45G,0.0004475283
PALM,0.00044729057
CHST2,0.00044553026
IMP3,0.000444391
NANS,0.0004432427
HIST1H4K,0.0004431511
CA6,0.00044241507
ACYP2,0.00044229382
TSPAN1,0.00044227342
DENND1B,0.0004403448
GINM1,0.00044024046
ECE1,0.0004398266
TMEM25,0.00043925218
TSPYL1,0.0004391229
MRPS22,0.0004375756
EPHA4,0.00043732885
IGF2BP3,0.0004369982
NDUFS2,0.00043619462
RPAP2,0.00043477098
PPP3R1,0.0004341271
PISD,0.00043367778
PPM1N,0.0004331366
SNAP47,0.00043233563
CCDC126,0.00043217718
APC,0.00043158274
CD300E,0.00043053916
VPS13B,0.00043026
ELL2,0.00042986043
DTX3L,0.00042975444
INTS1,0.00042863406
ACOT11,0.00042854666
SIDT1,0.00042852937
RAB39B,0.00042844407
UHMK1,0.0004283037
ACAT1,0.00042814956
BTAF1,0.00042803274
GALR3,0.00042798213
NOC2L,0.0004278159
HIVEP2,0.0004268281
ZNF93,0.00042617082
WDR19,0.0004254917
LGI3,0.0004249671
MX1,0.00042408996
ALOX15B,0.0004237672
ZNF621,0.00042354848
REPS1,0.00042351714
DEGS2,0.00042330567
BTN3A2,0.00042237272
MRPS2,0.00042230904
PDE12,0.00042209853
CDC5L,0.00042183851
SPIN1,0.00042144733
TSR3,0.00042106948
CERS5,0.000420732
UBAP2L,0.0004204717
DISP2,0.00042011283
EMG1,0.00041962237
ZNF696,0.00041958533
U2AF2,0.00041907048
DNAAF2,0.0004171554
DCT,0.0004168703
RAD51B,0.0004167326
SARDH,0.00041659392
DIRC1,0.00041643152
SLC52A2,0.0004155464
PDLIM1,0.00041481084
PDSS2,0.0004147754
HADHA,0.00041467795
ACP1,0.00041448907
TIMM23,0.0004144093
MSH2,0.0004133488
MGMT,0.00041250186
SMS,0.0004123469
UBE2Z,0.00041215142
OTP,0.0004115473
ANG,0.00040924878
HEATR1,0.00040853771
TMEM123,0.0004068623
FBXW12,0.00040672362
KLKB1,0.00040658176
LDLR,0.00040513335
TMEM9,0.0004050404
KBTBD2,0.0004047048
AASDHPPT,0.0004036325
HRK,0.0004031143
PITPNB,0.00040310013
NSMCE1,0.00040239314
SACM1L,0.00040217148
AXL,0.00040196857
TXN2,0.0004004408
FGD2,0.0003995408
STK4,0.00039936608
INTS12,0.00039916227
ODC1,0.0003988677
BLCAP,0.0003973178
HS6ST1,0.00039612225
CPPED1,0.0003958243
F13A1,0.0003955041
F2R,0.00039470993
EIF3B,0.00039435332
CCNH,0.000393892
IFT172,0.00039366996
STAT5A,0.00039345393
GBP4,0.00039321155
FUBP3,0.00039196922
NFIL3,0.0003908096
HDAC2,0.00039059867
ALS2CL,0.00039003775
BDH1,0.00038888675
LAMP5,0.00038815296
FCRLA,0.0003874955
CHURC1,0.00038731837
RNF103,0.00038713054
DUSP2,0.00038640283
INPP5K,0.00038630265
ATF3,0.00038523524
KRT23,0.0003850079
HNRNPU,0.00038497846
ERCC2,0.0003845534
SLC6A17,0.00038435406
NUCB1,0.0003838608
SUGP2,0.00038351395
CRLF2,0.0003830013
TSPAN33,0.0003818924
ALDH4A1,0.0003815565
IFIT2,0.00038150718
LTK,0.00038110564
AHCYL2,0.00038092534
ATP6V1G2,0.00038085572
LSMEM1,0.00038078756
ADARB1,0.00038041454
GOSR2,0.0003803934
SOX8,0.00038026704
TADA1,0.00038023913
TMEM60,0.0003797677
NCAM1,0.00037923997
PUM1,0.00037815372
POP4,0.0003777348
CMC2,0.00037739894
ITGBL1,0.00037704277
NFU1,0.00037692825
POLR1B,0.00037679193
CTNNBL1,0.0003765871
NFASC,0.0003763253
HMGA2,0.00037626125
RINL,0.00037563228
PAK1,0.0003754066
CYB5D2,0.00037501156
EIF2AK4,0.00037484165
SLC14A2,0.00037458783
WDR5,0.00037429342
RIN3,0.00037416597
UBC,0.00037413515
DUSP15,0.00037400099
SIVA1,0.00037268258
S100A6,0.0003722622
ZBTB45,0.0003718839
BLVRA,0.00037179314
SLC29A3,0.0003709288
ARIH1,0.0003706186
GBP3,0.00037030433
XK,0.00036962423
AKAP17A,0.00036934792
KCTD12,0.0003690544
TEAD1,0.0003685419
RBM17,0.00036781223
SAMD10,0.00036744893
WRN,0.00036715475
AQP3,0.00036641335
PSMD10,0.0003663457
IGSF9,0.00036614545
YPEL4,0.00036605282
GGNBP2,0.00036585785
DNAJC30,0.0003658537
MIEF1,0.00036542254
HIC2,0.00036505327
OGFR,0.00036477172
UBA3,0.00036444314
ZNF655,0.0003643048
NOP58,0.00036348533
RABL2A,0.00036296144
AP1M1,0.0003626718
WDR45B,0.00036242433
AFF1,0.00036167412
JADE2,0.00036144172
PLEK2,0.00036141
ATG16L1,0.00036060513
ZNF592,0.00035952078
ZIC5,0.0003592121
WNT6,0.00035907957
APAF1,0.00035901822
LIN9,0.00035894482
HIST2H2AC,0.00035894391
RNF180,0.00035837083
ZRSR2,0.00035810916
FBXO31,0.00035804478
NCAPD3,0.00035742513
ACAA2,0.0003572363
SPOCD1,0.0003560429
TGFB1,0.00035559366
SNAPC4,0.0003548389
SRPK1,0.00035461623
TMED9,0.00035442106
TRIM25,0.0003539058
WSB2,0.00035363223
ERN1,0.00035287216
TCEAL5,0.00035271916
ZBED3,0.00035146682
FBXO41,0.00035118253
CHPF,0.0003503428
USP22,0.00034995787
AMMECR1L,0.00034969414
RGS19,0.00034967987
ZNF189,0.00034933642
DHRS9,0.00034912347
HIST1H2BJ,0.0003484434
ADAM10,0.00034797442
XPR1,0.0003479088
GCC1,0.00034771254
PIEZO2,0.000347498
CEP104,0.0003473142
HCRT,0.00034608404
PSMA3,0.00034591864
SUCLG1,0.00034573776
ETNK2,0.00034542792
KRTAP5-2,0.00034322706
HNRNPC,0.00034309682
MVB12A,0.00034279664
CLEC12B,0.00034165726
PHYKPL,0.00034134957
CLUAP1,0.00034103778
RAB40C,0.00033928704
RNF139,0.00033918206
NCF1B,0.00033918093
MOV10,0.00033917936
ITGAL,0.00033899563
RPL23,0.0003374988
SH2D1B,0.00033749256
SPAG8,0.0003367868
RNF122,0.00033667838
ENO2,0.0003361995
SMIM14,0.00033586958
DNAJC27,0.0003356508
HES2,0.00033501931
MAGOH,0.00033492013
OFD1,0.00033477216
CPNE2,0.00033445747
SH2D3C,0.00033411363
ADAMTSL2,0.00033398048
ANKRD28,0.00033329942
TCF15,0.00033313825
BRICD5,0.0003327497
EYA3,0.00033274194
ABCB10,0.00033266557
HIPK1,0.00033172502
ACOX1,0.00033144135
GHITM,0.0003303997
PRR14,0.0003300421
SIGMAR1,0.0003300164
DDX21,0.0003300162
WDR1,0.00032961194
TRAK1,0.00032906336
ANKZF1,0.00032897718
POLG,0.0003276943
ZXDC,0.00032767677
LSG1,0.00032760602
DNAJC15,0.0003273895
SYNGR4,0.00032691145
FANCL,0.0003262601
HOXB2,0.00032619655
PIAS1,0.0003260162
SYTL1,0.00032545355
AARS2,0.00032501828
ENKUR,0.00032488795
NSUN4,0.0003242545
PYCARD,0.00032362595
KRTAP13-4,0.0003230984
TM2D1,0.00032304367
KLHDC7B,0.00032266675
CLCN1,0.00032266558
BLOC1S4,0.0003223125
ZNF576,0.00032212946
NDUFAF1,0.00032200105
VANGL1,0.0003210353
DDX23,0.0003205898
VPS37C,0.00031989053
CTSG,0.0003187081
PYROXD2,0.0003185998
STOM,0.0003180148
VPS26B,0.0003180134
ISCA2,0.00031705218
TNFRSF19,0.0003169943
FAM20C,0.00031661845
LGALS2,0.0003165576
JRK,0.00031619452
SAMSN1,0.0003157688
SCAND2P,0.00031576704
PRDX1,0.0003153293
SH3YL1,0.00031494396
GOT2,0.00031454215
BTK,0.00031395094
INTS10,0.00031381653
ADAR,0.000313198
LDB1,0.0003131432
IL6ST,0.0003123828
NMNAT1,0.0003121692
FCN3,0.0003117825
AP2A2,0.00031100164
MFAP3,0.00031069558
GLG1,0.00031059294
